ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Christian McCaffrey	Good But Not Great	tim	
1	2	Dalvin Cook	Freakz of Nature	romel	
1	3	Alvin Kamara	Minnesota Frostbite	brett-b	
1	4	Derrick Henry	ENTER THE WOOPOUND	fabio	
1	5	Ezekiel Elliott	Draven McQueen	tony	
1	6	Nick Chubb	Fuck Dean Spanos	mark	
1	7	Aaron Jones Sr.	Mr. Rodgers Neighborhood	bryan	
1	8	Davante Adams	Brady’s Bitch	heather	
1	9	Austin Ekeler	Lamar You Not Entertained?	rich	
1	10	Travis Kelce	2013 Donkey Ass	leonard-j	
1	11	Saquon Barkley	AC X 2	andrew	
1	12	DeAndre Hopkins	Beantown	brett-p	
1	13	Najee Harris	The YoungHoes	dylan	
1	14	Tyreek Hill	Reek-A-Leek	christian-k	
2	1	Joe Mixon	Reek-A-Leek	christian-k	
2	2	Jonathan Taylor	The YoungHoes	dylan	Y
2	3	Stefon Diggs	Beantown	brett-p	Y
2	4	DK Metcalf	AC X 2	andrew	
2	5	J.K. Dobbins	2013 Donkey Ass	leonard-j	Y
2	6	Clyde Edwards-Helaire	Lamar You Not Entertained?	rich	
2	7	A.J. Brown	Brady’s Bitch	heather	
2	8	Terry McLaurin	Mr. Rodgers Neighborhood	bryan	
2	9	Darren Waller	Fuck Dean Spanos	mark	
2	10	George Kittle	Draven McQueen	tony	
2	11	Keenan Allen	ENTER THE WOOPOUND	fabio	
2	12	Calvin Ridley	Minnesota Frostbite	brett-b	Y
2	13	D'Andre Swift	Freakz of Nature	romel	Y
2	14	Allen Robinson	Good But Not Great	tim	
3	1	Mike Evans	Good But Not Great	tim	
3	2	Patrick Mahomes	Freakz of Nature	romel	
3	3	Chris Carson	Minnesota Frostbite	brett-b	
3	4	David Montgomery	ENTER THE WOOPOUND	fabio	
3	5	Amari Cooper	Draven McQueen	tony	
3	6	James Robinson	Fuck Dean Spanos	mark	
3	7	Miles Sanders	Mr. Rodgers Neighborhood	bryan	
3	8	Josh Jacobs	Brady’s Bitch	heather	
3	9	Cooper Kupp	Lamar You Not Entertained?	rich	
3	10	Chris Godwin Jr.	2013 Donkey Ass	leonard-j	
