ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Todd Gurley	Beantown	brett-p	
1	2	Le'Veon Bell	SavedByLe'Bellornot	melissa	
1	3	Saquon Barkley	Fuck Dean Spanos	mark	
1	4	David Johnson	Pro Bowl Punter	mitchell	
1	5	Ezekiel Elliott	This Years Loser	rich	
1	6	Antonio Brown	Brady’s Bitch	heather	
1	7	Melvin Gordon III	One Tyreek Hill	christian-k	
1	8	DeAndre Hopkins	2013 Donkey Ass	leonard-j	
1	9	Odell Beckham Jr.	AC X 2	andrew	
1	10	Leonard Fournette	Draven McQueen	tony	
1	11	Christian McCaffrey	Minnesota Frostbite	brett-b	
1	12	Julio Jones	Good But Not Great	tim	
1	13	Michael Thomas	Krispy Kareem Donuts	bryan	
1	14	Keenan Allen	Shark Porn	alex	
2	1	A.J. Green	Shark Porn	alex	
2	2	Kareem Hunt	Krispy Kareem Donuts	bryan	Y
2	3	Dalvin Cook	Good But Not Great	tim	Y
2	4	Davante Adams	Minnesota Frostbite	brett-b	
2	5	Mike Evans	Draven McQueen	tony	
2	6	Rob Gronkowski	AC X 2	andrew	
2	7	Devonta Freeman	2013 Donkey Ass	leonard-j	
2	8	Tyreek Hill	One Tyreek Hill	christian-k	
2	9	LeSean McCoy	Brady’s Bitch	heather	
2	10	Jordan Howard	This Years Loser	rich	
2	11	Joe Mixon	Pro Bowl Punter	mitchell	
2	12	Stefon Diggs	Fuck Dean Spanos	mark	
2	13	Larry Fitzgerald	SavedByLe'Bellornot	melissa	
2	14	Amari Cooper	Beantown	brett-p	
3	1	Alex Collins	Beantown	brett-p	
3	2	Demaryius Thomas	SavedByLe'Bellornot	melissa	
3	3	Royce Freeman	Fuck Dean Spanos	mark	
3	4	Aaron Rodgers	Pro Bowl Punter	mitchell	
3	5	Jarvis Landry	This Years Loser	rich	
3	6	Jay Ajayi	Brady’s Bitch	heather	
3	7	Doug Baldwin	One Tyreek Hill	christian-k	
3	8	Kenyan Drake	2013 Donkey Ass	leonard-j	
3	9	Travis Kelce	AC X 2	andrew	
3	10	T.Y. Hilton	Draven McQueen	tony	
3	11	Lamar Miller	Minnesota Frostbite	brett-b	
3	12	Golden Tate	Good But Not Great	tim	
3	13	Chris Hogan	Krispy Kareem Donuts	bryan	
3	14	Zach Ertz	Shark Porn	alex	
4	1	JuJu Smith-Schuster	Shark Porn	alex	
4	2	Derrick Henry	Krispy Kareem Donuts	bryan	
4	3	Mark Ingram II	Good But Not Great	tim	
4	4	Marvin Jones Jr.	Minnesota Frostbite	brett-b	
4	5	Russell Wilson	Draven McQueen	tony	
4	6	Cam Newton	AC X 2	andrew	
4	7	Allen Robinson	2013 Donkey Ass	leonard-j	
4	8	Carlos Hyde	One Tyreek Hill	christian-k	
4	9	Tom Brady	Brady’s Bitch	heather	
4	10	Greg Olsen	This Years Loser	rich	
4	11	Josh Gordon	Pro Bowl Punter	mitchell	
4	12	Brandin Cooks	Fuck Dean Spanos	mark	
4	13	Dion Lewis	SavedByLe'Bellornot	melissa	
4	14	Drew Brees	Beantown	brett-p	
5	1	Jimmy Graham	Beantown	brett-p	
5	2	Kirk Cousins	SavedByLe'Bellornot	melissa	
5	3	Trey Burton	Fuck Dean Spanos	mark	
5	4	Kyle Rudolph	Pro Bowl Punter	mitchell	
5	5	Devin Funchess	This Years Loser	rich	
5	6	Alshon Jeffery	Brady’s Bitch	heather	
5	7	Chris Carson	One Tyreek Hill	christian-k	
5	8	Emmanuel Sanders	2013 Donkey Ass	leonard-j	
5	9	Rex Burkhead	AC X 2	andrew	
5	10	Marshawn Lynch	Draven McQueen	tony	
5	11	Kerryon Johnson	Minnesota Frostbite	brett-b	
5	12	Tarik Cohen	Good But Not Great	tim	
5	13	Evan Engram	Krispy Kareem Donuts	bryan	
5	14	Tevin Coleman	Shark Porn	alex	
6	1	Michael Crabtree	Shark Porn	alex	
6	2	Chris Thompson	Krispy Kareem Donuts	bryan	
6	3	Jamison Crowder	Good But Not Great	tim	
6	4	Jamaal Williams	Minnesota Frostbite	brett-b	
6	5	Sammy Watkins	Draven McQueen	tony	
6	6	Robbie Chosen	AC X 2	andrew	
6	7	Pierre Garcon	2013 Donkey Ass	leonard-j	
6	8	Jordan Reed	One Tyreek Hill	christian-k	
6	9	Jaguars	Brady’s Bitch	heather	
6	10	Jordy Nelson	This Years Loser	rich	
6	11	Cooper Kupp	Pro Bowl Punter	mitchell	
6	12	Will Fuller V	Fuck Dean Spanos	mark	
6	13	Delanie Walker	SavedByLe'Bellornot	melissa	
6	14	Julian Edelman	Beantown	brett-p	
7	1	Marlon Mack	Beantown	brett-p	
7	2	Isaiah Crowell	SavedByLe'Bellornot	melissa	
7	3	Jimmy Garoppolo	Fuck Dean Spanos	mark	
7	4	Mike Williams	Pro Bowl Punter	mitchell	
7	5	Ronald Jones	This Years Loser	rich	
7	6	Stephen Gostkowski	Brady’s Bitch	heather	
7	7	Andrew Luck	One Tyreek Hill	christian-k	
7	8	Nick Chubb	2013 Donkey Ass	leonard-j	
7	9	Sony Michel	AC X 2	andrew	
7	10	Rashaad Penny	Draven McQueen	tony	
7	11	Nelson Agholor	Minnesota Frostbite	brett-b	
7	12	Duke Johnson	Good But Not Great	tim	
7	13	Kenny Stills	Krispy Kareem Donuts	bryan	
7	14	Matthew Stafford	Shark Porn	alex	
8	1	Alvin Kamara	Shark Porn	alex	Y
8	2	Carson Wentz	Krispy Kareem Donuts	bryan	Y
8	3	Corey Davis	Good But Not Great	tim	Y
8	4	Marquise Goodwin	Minnesota Frostbite	brett-b	Y
8	5	Jerick McKinnon	Draven McQueen	tony	Y
8	6	Vikings	AC X 2	andrew	
8	7	Bilal Powell	2013 Donkey Ass	leonard-j	
8	8	Sterling Shepard	One Tyreek Hill	christian-k	Y
8	9	David Njoku	Brady’s Bitch	heather	
8	10	Alex Smith	This Years Loser	rich	Y
8	11	Adam Thielen	Pro Bowl Punter	mitchell	Y
8	12	Deshaun Watson	Fuck Dean Spanos	mark	Y
8	13	Latavius Murray	SavedByLe'Bellornot	melissa	Y
8	14	Robert Woods	Beantown	brett-p	Y
9	1	James White	Beantown	brett-p	
9	2	Rams	SavedByLe'Bellornot	melissa	
9	3	Kenny Golladay	Fuck Dean Spanos	mark	
9	4	Jeremy Hill	Pro Bowl Punter	mitchell	
9	5	Marqise Lee	This Years Loser	rich	
9	6	Ben Roethlisberger	Brady’s Bitch	heather	
9	7	Josh Doctson	One Tyreek Hill	christian-k	
9	8	Adrian Peterson	2013 Donkey Ass	leonard-j	
9	9	Greg Zuerlein	AC X 2	andrew	
9	10	Randall Cobb	Draven McQueen	tony	
9	11	Philip Rivers	Minnesota Frostbite	brett-b	
9	12	Patrick Mahomes	Good But Not Great	tim	
9	13	Aaron Jones Sr.	Krispy Kareem Donuts	bryan	
9	14	Kelvin Benjamin	Shark Porn	alex	
10	1	Peyton Barber	Shark Porn	alex	
10	2	Allen Hurns	Krispy Kareem Donuts	bryan	
10	3	Jack Doyle	Good But Not Great	tim	
10	4	George Kittle	Minnesota Frostbite	brett-b	
10	5	DeVante Parker	Draven McQueen	tony	
10	6	Matt Ryan	AC X 2	andrew	
10	7	Eric Ebron	2013 Donkey Ass	leonard-j	
10	8	Matt Breida	One Tyreek Hill	christian-k	
10	9	Danny Amendola	Brady’s Bitch	heather	
10	10	Eagles	This Years Loser	rich	
10	11	Jared Goff	Pro Bowl Punter	mitchell	
10	12	Broncos	Fuck Dean Spanos	mark	
10	13	Justin Tucker	SavedByLe'Bellornot	melissa	
10	14	Texans	Beantown	brett-p	
11	1	Derek Carr	Beantown	brett-p	
11	2	DJ Moore	SavedByLe'Bellornot	melissa	
11	3	Cameron Meredith	Fuck Dean Spanos	mark	
11	4	Rishard Matthews	Pro Bowl Punter	mitchell	
11	5	Dak Prescott	This Years Loser	rich	
11	6	C.J. Anderson	Brady’s Bitch	heather	
11	7	Calvin Ridley	One Tyreek Hill	christian-k	
11	8	Marcus Mariota	2013 Donkey Ass	leonard-j	
11	9	O.J. Howard	AC X 2	andrew	
11	10	Jared Cook	Draven McQueen	tony	
11	11	Tyler Lockett	Minnesota Frostbite	brett-b	
11	12	Jameis Winston	Good But Not Great	tim	
11	13	Corey Clement	Krispy Kareem Donuts	bryan	
11	14	Michael Gallup	Shark Porn	alex	
12	1	Cameron Brate	Shark Porn	alex	
12	2	Chargers	Krispy Kareem Donuts	bryan	
12	3	John Brown	Good But Not Great	tim	
12	4	Tyler Eifert	Minnesota Frostbite	brett-b	
12	5	Ricky Seals-Jones	Draven McQueen	tony	
12	6	Charles Clay	AC X 2	andrew	
12	7	Terrelle Pryor Sr.	2013 Donkey Ass	leonard-j	
12	8	Saints	One Tyreek Hill	christian-k	
12	9	Ted Ginn Jr.	Brady’s Bitch	heather	
12	10	Theo Riddick	This Years Loser	rich	
12	11	Mike Gillislee	Pro Bowl Punter	mitchell	
12	12	Jake Elliott	Fuck Dean Spanos	mark	
12	13	LeGarrette Blount	SavedByLe'Bellornot	melissa	
12	14	Courtland Sutton	Beantown	brett-p	
13	1	Tyrell Williams	Beantown	brett-p	
13	2	Chris Godwin Jr.	SavedByLe'Bellornot	melissa	
13	3	Harrison Butker	Fuck Dean Spanos	mark	
13	4	Dede Westbrook	Pro Bowl Punter	mitchell	
13	5	Vernon Davis	This Years Loser	rich	
13	6	Keelan Cole Sr.	Brady’s Bitch	heather	
13	7	Christian Kirk	One Tyreek Hill	christian-k	
13	8	Case Keenum	2013 Donkey Ass	leonard-j	
13	9	Jordan Wilkins	AC X 2	andrew	
13	10	Taywan Taylor	Draven McQueen	tony	
13	11	Giovani Bernard	Minnesota Frostbite	brett-b	
13	12	Austin Seferian-Jenkins	Good But Not Great	tim	
13	13	Martavis Bryant	Krispy Kareem Donuts	bryan	
13	14	Ty Montgomery II	Shark Porn	alex	
14	1	Paul Richardson	Shark Porn	alex	
14	2	Wil Lutz	Krispy Kareem Donuts	bryan	
14	3	Frank Gore	Good But Not Great	tim	
14	4	Anthony Miller	Minnesota Frostbite	brett-b	
14	5	DeSean Jackson	Draven McQueen	tony	
14	6	Matt Bryant	AC X 2	andrew	
14	7	Seahawks	2013 Donkey Ass	leonard-j	
14	8	Chris Boswell	One Tyreek Hill	christian-k	
14	9	Dez Bryant	Brady’s Bitch	heather	
14	10	Dan Bailey	This Years Loser	rich	
14	11	Browns	Pro Bowl Punter	mitchell	
14	12	Austin Hooper	Fuck Dean Spanos	mark	
14	13	Blake Bortles	SavedByLe'Bellornot	melissa	
14	14	Mike Gesicki	Beantown	brett-p	
15	1	Mason Crosby	Beantown	brett-p	
15	2	Ben Watson	SavedByLe'Bellornot	melissa	
15	3	Corey Coleman	Fuck Dean Spanos	mark	
15	4	Matt Prater	Pro Bowl Punter	mitchell	
15	5	Mike Wallace	This Years Loser	rich	
15	6	Mohamed Sanu	Brady’s Bitch	heather	
15	7	Kalen Ballage	One Tyreek Hill	christian-k	
15	8	Josh Lambo	2013 Donkey Ass	leonard-j	
15	9	Ravens	AC X 2	andrew	
15	10	Devontae Booker	Draven McQueen	tony	
15	11	Panthers	Minnesota Frostbite	brett-b	
15	12	Quincy Enunwa	Good But Not Great	tim	
15	13	Mitchell Trubisky	Krispy Kareem Donuts	bryan	
15	14	Patriots	Shark Porn	alex	
