ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Jonathan Taylor	Minnesota Frostbite	brett-b	
1	2	Christian McCaffrey	Fuck Dean Spanos	mark	
1	3	Austin Ekeler	The Eks Factor	bryan	
1	4	Derrick Henry	2013 Donkey Ass	leonard-j	
1	5	D'Andre Swift	Beantown	brett-p	
1	6	Dalvin Cook	Brady’s Bitch	heather	
1	7	Justin Jefferson	AC X 2	andrew	
1	8	Ja'Marr Chase	ENTER THE WOOPOUND	fabio	
1	9	Joe Mixon	Good But Not Great	tim	
1	10	Najee Harris	Darth Rico	rich	
1	11	Saquon Barkley	Freakz of Nature	romel	
1	12	Alvin Kamara	Draven McQueen	tony	
1	13	Travis Kelce	Amon Us	dylan	
1	14	Aaron Jones Sr.	GraveDigger	christian-k	
2	1	Stefon Diggs	GraveDigger	christian-k	
2	2	Javonte Williams	Amon Us	dylan	
2	3	Cooper Kupp	Draven McQueen	tony	Y
2	4	CeeDee Lamb	Freakz of Nature	romel	
2	5	James Conner	Darth Rico	rich	
2	6	Davante Adams	Good But Not Great	tim	
2	7	Mike Evans	ENTER THE WOOPOUND	fabio	
2	8	Nick Chubb	AC X 2	andrew	
2	9	Hayden Hurst	Brady’s Bitch	heather	
2	10	Michael Pittman Jr.	Beantown	brett-p	
2	11	Deebo Samuel Sr.	2013 Donkey Ass	leonard-j	
2	12	Tyreek Hill	The Eks Factor	bryan	
2	13	Mark Andrews	Fuck Dean Spanos	mark	
2	14	A.J. Brown	Minnesota Frostbite	brett-b	
3	1	Keenan Allen	Minnesota Frostbite	brett-b	
3	2	Tee Higgins	Fuck Dean Spanos	mark	
3	3	Josh Allen	The Eks Factor	bryan	
3	4	Kyle Pitts Sr.	2013 Donkey Ass	leonard-j	
3	5	Courtland Sutton	Beantown	brett-p	
3	6	Tom Brady	Brady’s Bitch	heather	
3	7	DJ Moore	AC X 2	andrew	
3	8	Ezekiel Elliott	ENTER THE WOOPOUND	fabio	
3	9	Diontae Johnson	Good But Not Great	tim	
3	10	Jerry Jeudy	Darth Rico	rich	
3	11	Breece Hall	Freakz of Nature	romel	
3	12	Cam Akers	Draven McQueen	tony	
3	13	Dameon Pierce	Amon Us	dylan	
