ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Justin Jefferson	AC X 2	andrew	
1	2	Christian McCaffrey	2013 Donkey Ass	leonard-j	
1	3	Ja'Marr Chase	Minnesota Frostbite	brett-b	
1	4	Austin Ekeler	God-Zilla	christian-k	
1	5	Cooper Kupp	Darth Rico	rich	
1	6	Stefon Diggs	Beantown	brett-p	
1	7	Tyreek Hill	ENTER THE WOOPOUND	fabio	
1	8	Travis Kelce	Brady’s Bitch	heather	
1	9	Saquon Barkley	Good But Not Great	tim	
1	10	Bijan Robinson	Draven McQueen	tony	
1	11	Nick Chubb	Amon Us	dylan	
1	12	Josh Jacobs	Freakz of Nature	romel	
1	13	CeeDee Lamb	Puka Doncic	bryan	
1	14	A.J. Brown	Fuck Dean Spanos	mark	
2	1	Davante Adams	Fuck Dean Spanos	mark	
2	2	Derrick Henry	Puka Doncic	bryan	
2	3	Patrick Mahomes	Freakz of Nature	romel	
2	4	Amon-Ra St. Brown	Amon Us	dylan	Y
2	5	Jaylen Waddle	Draven McQueen	tony	
2	6	DeVonta Smith	Good But Not Great	tim	
2	7	Travis Etienne Jr.	Brady’s Bitch	heather	
2	8	Joe Mixon	ENTER THE WOOPOUND	fabio	
2	9	Josh Allen	Beantown	brett-p	
2	10	Aaron Jones Sr.	Darth Rico	rich	
2	11	Mark Andrews	God-Zilla	christian-k	
2	12	Rhamondre Stevenson	Minnesota Frostbite	brett-b	
2	13	Najee Harris	2013 Donkey Ass	leonard-j	
2	14	Jalen Hurts	AC X 2	andrew	
3	1	Tee Higgins	AC X 2	andrew	
3	2	Breece Hall	2013 Donkey Ass	leonard-j	
3	3	Jahmyr Gibbs	Minnesota Frostbite	brett-b	
3	4	Dameon Pierce	God-Zilla	christian-k	
3	5	Joe Burrow	Darth Rico	rich	
3	6	Calvin Ridley	Beantown	brett-p	
3	7	DK Metcalf	ENTER THE WOOPOUND	fabio	
3	8	J.K. Dobbins	Brady’s Bitch	heather	
3	9	Lamar Jackson	Good But Not Great	tim	
3	10	Rachaad White	Draven McQueen	tony	
3	11	Miles Sanders	Amon Us	dylan	
3	12	Deebo Samuel Sr.	Freakz of Nature	romel	
3	13	T.J. Hockenson	Puka Doncic	bryan	
3	14	Alexander Mattison	Fuck Dean Spanos	mark	
4	1	Jonathan Taylor	Fuck Dean Spanos	mark	
4	2	Justin Herbert	Puka Doncic	bryan	
4	3	James Cook III	Freakz of Nature	romel	
4	4	George Kittle	Amon Us	dylan	
4	5	DeAndre Hopkins	Draven McQueen	tony	
4	6	Keenan Allen	Good But Not Great	tim	
4	7	Tyler Lockett	Brady’s Bitch	heather	
4	8	Cam Akers	ENTER THE WOOPOUND	fabio	
4	9	James Conner	Beantown	brett-p	
4	10	Darren Waller	Darth Rico	rich	
4	11	Diontae Johnson	God-Zilla	christian-k	
4	12	DJ Moore	Minnesota Frostbite	brett-b	
4	13	Brandon Aiyuk	2013 Donkey Ass	leonard-j	
4	14	Terry McLaurin	AC X 2	andrew	
5	1	David Montgomery	AC X 2	andrew	
5	2	Michael Pittman Jr.	2013 Donkey Ass	leonard-j	
5	3	Christian Watson	Minnesota Frostbite	brett-b	
5	4	Chris Godwin Jr.	God-Zilla	christian-k	
5	5	Dalvin Cook	Darth Rico	rich	
5	6	Javonte Williams	Beantown	brett-p	
5	7	Mike Williams	ENTER THE WOOPOUND	fabio	
5	8	Jahan Dotson	Brady’s Bitch	heather	
5	9	Christian Kirk	Good But Not Great	tim	
5	10	Dallas Goedert	Draven McQueen	tony	
5	11	Mike Evans	Amon Us	dylan	
5	12	George Pickens	Freakz of Nature	romel	
5	13	Gabe Davis	Puka Doncic	bryan	
5	14	Kyle Pitts Sr.	Fuck Dean Spanos	mark	
6	1	Trevor Lawrence	Fuck Dean Spanos	mark	
6	2	Jerry Jeudy	Puka Doncic	bryan	
6	3	Evan Engram	Freakz of Nature	romel	
6	4	Deshaun Watson	Amon Us	dylan	
6	5	Hollywood Brown	Draven McQueen	tony	
6	6	Pat Freiermuth	Good But Not Great	tim	
6	7	Alvin Kamara	Brady’s Bitch	heather	
6	8	AJ Dillon	ENTER THE WOOPOUND	fabio	
6	9	Michael Thomas	Beantown	brett-p	
6	10	Rashaad Penny	Darth Rico	rich	
6	11	Brian Robinson	God-Zilla	christian-k	
6	12	D'Andre Swift	Minnesota Frostbite	brett-b	
6	13	Jordan Addison	2013 Donkey Ass	leonard-j	
6	14	Antonio Gibson	AC X 2	andrew	
7	1	David Njoku	AC X 2	andrew	
7	2	Tua Tagovailoa	2013 Donkey Ass	leonard-j	
7	3	Jaxon Smith-Njigba	Minnesota Frostbite	brett-b	
7	4	Courtland Sutton	God-Zilla	christian-k	
7	5	49ers	Darth Rico	rich	
7	6	Raheem Mostert	Beantown	brett-p	
7	7	Jamaal Williams	ENTER THE WOOPOUND	fabio	
7	8	Daniel Jones	Brady’s Bitch	heather	
7	9	Samaje Perine	Good But Not Great	tim	
7	10	Anthony Richardson Sr.	Draven McQueen	tony	
7	11	Zach Charbonnet	Amon Us	dylan	
7	12	Kenny Gainwell	Freakz of Nature	romel	
7	13	Zay Flowers	Puka Doncic	bryan	
7	14	Cowboys	Fuck Dean Spanos	mark	
8	1	Garrett Wilson	Fuck Dean Spanos	mark	Y
8	2	Kenneth Walker III	Puka Doncic	bryan	Y
8	3	Isiah Pacheco	Freakz of Nature	romel	Y
8	4	Chris Olave	Amon Us	dylan	Y
8	5	Khalil Herbert	Draven McQueen	tony	Y
8	6	Tony Pollard	Good But Not Great	tim	Y
8	7	Eagles	Brady’s Bitch	heather	
8	8	Geno Smith	ENTER THE WOOPOUND	fabio	
