ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Ja'Marr Chase	2013 Donkey Ass	leonard-j	
1	2	Saquon Barkley	Brady's Bambino	nathan	
1	3	Christian McCaffrey	Beantown	brett-p	
1	4	Bijan Robinson	Bijan Mustard	dylan	
1	5	Jahmyr Gibbs	K-Pop Rice Hunters	christian-k	
1	6	CeeDee Lamb	Brady’s Bitch	heather	
1	7	Justin Jefferson	AC X 2	andrew	
1	8	Derrick Henry	What the Hali	bryan	
1	9	Nico Collins	Good But Not Great	tim	
1	10	Ashton Jeanty	Minnesota Frostbite	brett-b	
1	11	Drake London	Draven McQueen	tony	
1	12	Jonathan Taylor	Darth Rico	rich	
1	13	Amon-Ra St. Brown	Freakz of Nature	romel	
1	14	De'Von Achane	Turd Ferguson	mark	
2	1	Malik Nabers	Turd Ferguson	mark	Y
2	2	Josh Jacobs	Freakz of Nature	romel	
2	3	Brock Bowers	Darth Rico	rich	
2	4	Bucky Irving	Draven McQueen	tony	
2	5	Puka Nacua	Minnesota Frostbite	brett-b	
2	6	Kenneth Walker III	Good But Not Great	tim	
2	7	A.J. Brown	What the Hali	bryan	
2	8	Trey McBride	AC X 2	andrew	
2	9	Kyren Williams	Brady’s Bitch	heather	
2	10	Lamar Jackson	K-Pop Rice Hunters	christian-k	
2	11	Mike Evans	Bijan Mustard	dylan	
2	12	Josh Allen	Beantown	brett-p	
2	13	Tee Higgins	Brady's Bambino	nathan	
2	14	James Cook III	2013 Donkey Ass	leonard-j	
3	1	Omarion Hampton	2013 Donkey Ass	leonard-j	
3	2	George Kittle	Brady's Bambino	nathan	
3	3	Davante Adams	Beantown	brett-p	
3	4	Marvin Harrison Jr.	Bijan Mustard	dylan	
3	5	Tyreek Hill	K-Pop Rice Hunters	christian-k	
3	6	Jayden Daniels	Brady’s Bitch	heather	
3	7	Jalen Hurts	AC X 2	andrew	
3	8	Alvin Kamara	What the Hali	bryan	
3	9	Garrett Wilson	Good But Not Great	tim	
3	10	James Conner	Minnesota Frostbite	brett-b	
3	11	TreVeyon Henderson	Draven McQueen	tony	
3	12	Xavier Worthy	Darth Rico	rich	
3	13	Joe Burrow	Freakz of Nature	romel	
3	14	Breece Hall	Turd Ferguson	mark	
4	1	Patrick Mahomes	Turd Ferguson	mark	
4	2	RJ Harvey	Freakz of Nature	romel	
4	3	Kyler Murray	Darth Rico	rich	
4	4	Terry McLaurin	Draven McQueen	tony	
4	5	Tetairoa McMillan	Minnesota Frostbite	brett-b	
4	6	Courtland Sutton	Good But Not Great	tim	
4	7	Tony Pollard	What the Hali	bryan	
4	8	DeVonta Smith	AC X 2	andrew	
4	9	Jaylen Waddle	Brady’s Bitch	heather	
4	10	DJ Moore	K-Pop Rice Hunters	christian-k	
4	11	D'Andre Swift	Bijan Mustard	dylan	
4	12	Isiah Pacheco	Beantown	brett-p	
4	13	DK Metcalf	Brady's Bambino	nathan	
4	14	George Pickens	2013 Donkey Ass	leonard-j	
5	1	T.J. Hockenson	2013 Donkey Ass	leonard-j	
5	2	Calvin Ridley	Brady's Bambino	nathan	
5	3	Travis Kelce	Beantown	brett-p	
5	4	Zay Flowers	Bijan Mustard	dylan	
5	5	Rashee Rice	K-Pop Rice Hunters	christian-k	
5	6	Aaron Jones Sr.	Brady’s Bitch	heather	
5	7	Jameson Williams	AC X 2	andrew	
5	8	Sam LaPorta	What the Hali	bryan	
5	9	Bo Nix	Good But Not Great	tim	
5	10	David Montgomery	Minnesota Frostbite	brett-b	
5	11	Travis Hunter	Draven McQueen	tony	
5	12	Deebo Samuel Sr.	Darth Rico	rich	
