ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	David Johnson	Fuck Dean Spanos	mark	
1	2	Le'Veon Bell	Tim's Passion Bucket	adam-r	
1	3	Antonio Brown	Silence Of The Cams	rich	
1	4	Odell Beckham Jr.	Draven McQueen	tony	
1	5	Julio Jones	Minnesota Frostbite	brett-b	
1	6	LeSean McCoy	Cleveland Steamers	mitchell	
1	7	Mike Evans	Samurai Dak	christian-k	
1	8	Devonta Freeman	2013 Donkey Ass	leonard-j	
1	9	A.J. Green	Krispy Kareem Donuts	bryan	
1	10	Jordy Nelson	RamBamTYCam	heather	
1	11	Dez Bryant	Shark Porn	alex	
1	12	Amari Cooper	Beantown Beatdown	brett-p	
1	13	Ezekiel Elliott	Good But Not Great	tim	
1	14	Todd Gurley	AC X 2	andrew	
2	1	Brandin Cooks	AC X 2	andrew	
2	2	Rob Gronkowski	Good But Not Great	tim	
2	3	Melvin Gordon III	Beantown Beatdown	brett-p	Y
2	4	DeAndre Hopkins	Shark Porn	alex	
2	5	Travis Kelce	RamBamTYCam	heather	Y
2	6	Michael Thomas	Krispy Kareem Donuts	bryan	Y
2	7	Christian McCaffrey	2013 Donkey Ass	leonard-j	
2	8	Carlos Hyde	Samurai Dak	christian-k	
2	9	Aaron Rodgers	Cleveland Steamers	mitchell	
2	10	Leonard Fournette	Minnesota Frostbite	brett-b	
2	11	T.Y. Hilton	Draven McQueen	tony	Y
2	12	Lamar Miller	Silence Of The Cams	rich	
2	13	Keenan Allen	Tim's Passion Bucket	adam-r	
2	14	DeMarco Murray	Fuck Dean Spanos	mark	Y
3	1	Doug Baldwin	Fuck Dean Spanos	mark	
3	2	Drew Brees	Tim's Passion Bucket	adam-r	
3	3	Bilal Powell	Silence Of The Cams	rich	
3	4	Dalvin Cook	Draven McQueen	tony	
3	5	Isaiah Crowell	Minnesota Frostbite	brett-b	
3	6	Davante Adams	Cleveland Steamers	mitchell	
3	7	Demaryius Thomas	Samurai Dak	christian-k	
3	8	Greg Olsen	2013 Donkey Ass	leonard-j	
3	9	Kareem Hunt	Krispy Kareem Donuts	bryan	
3	10	Marshawn Lynch	RamBamTYCam	heather	
3	11	C.J. Anderson	Shark Porn	alex	
3	12	Mark Ingram II	Beantown Beatdown	brett-p	
3	13	Golden Tate	Good But Not Great	tim	
3	14	Joe Mixon	AC X 2	andrew	
4	1	Jordan Reed	AC X 2	andrew	
4	2	Larry Fitzgerald	Good But Not Great	tim	
4	3	Jimmy Graham	Beantown Beatdown	brett-p	
4	4	Stefon Diggs	Shark Porn	alex	
4	5	Cam Newton	RamBamTYCam	heather	
4	6	Alshon Jeffery	Krispy Kareem Donuts	bryan	
4	7	Michael Crabtree	2013 Donkey Ass	leonard-j	
4	8	Kelvin Benjamin	Samurai Dak	christian-k	
4	9	DeVante Parker	Cleveland Steamers	mitchell	
4	10	Allen Robinson	Minnesota Frostbite	brett-b	
4	11	Tevin Coleman	Draven McQueen	tony	
4	12	Martavis Bryant	Silence Of The Cams	rich	
4	13	Jarvis Landry	Tim's Passion Bucket	adam-r	
4	14	Russell Wilson	Fuck Dean Spanos	mark	
5	1	Adrian Peterson	Fuck Dean Spanos	mark	
5	2	Derrick Henry	Tim's Passion Bucket	adam-r	
5	3	Paul Perkins	Silence Of The Cams	rich	
5	4	Duke Johnson	Draven McQueen	tony	
5	5	Emmanuel Sanders	Minnesota Frostbite	brett-b	
5	6	DeSean Jackson	Cleveland Steamers	mitchell	
5	7	Rob Kelley	Samurai Dak	christian-k	
5	8	Sammy Watkins	2013 Donkey Ass	leonard-j	
5	9	Danny Woodhead	Krispy Kareem Donuts	bryan	
5	10	Willie Snead IV	RamBamTYCam	heather	
5	11	Zach Ertz	Shark Porn	alex	
5	12	Brandon Marshall	Beantown Beatdown	brett-p	
5	13	Pierre Garcon	Good But Not Great	tim	
5	14	Randall Cobb	AC X 2	andrew	
6	1	Thomas Rawls	AC X 2	andrew	
6	2	Doug Martin	Good But Not Great	tim	
6	3	Eric Decker	Beantown Beatdown	brett-p	
6	4	Theo Riddick	Shark Porn	alex	
6	5	Tyrell Williams	RamBamTYCam	heather	
6	6	Tyler Eifert	Krispy Kareem Donuts	bryan	
6	7	Chris Hogan	2013 Donkey Ass	leonard-j	
6	8	Dak Prescott	Samurai Dak	christian-k	
6	9	Philip Rivers	Cleveland Steamers	mitchell	
6	10	Kyle Rudolph	Minnesota Frostbite	brett-b	
6	11	Terrance West	Draven McQueen	tony	
6	12	Martellus Bennett	Silence Of The Cams	rich	
6	13	Jameis Winston	Tim's Passion Bucket	adam-r	
6	14	Delanie Walker	Fuck Dean Spanos	mark	
7	1	Corey Coleman	Fuck Dean Spanos	mark	
7	2	Jack Doyle	Tim's Passion Bucket	adam-r	
7	3	Andrew Luck	Silence Of The Cams	rich	
7	4	Hunter Henry	Draven McQueen	tony	
7	5	Kirk Cousins	Minnesota Frostbite	brett-b	
7	6	Tyler Lockett	Cleveland Steamers	mitchell	
7	7	Eddie Lacy	Samurai Dak	christian-k	
7	8	Corey Davis	2013 Donkey Ass	leonard-j	
