ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Christian McCaffrey	Beantown	brett-p	
1	2	Saquon Barkley	Fuck Dean Spanos	mark	
1	3	Ezekiel Elliott	The Golladay Inn	bryan	
1	4	Alvin Kamara	Toyota Kamara	christian-k	
1	5	Dalvin Cook	Freakz of Nature	romel	
1	6	Michael Thomas	The YoungHoes	dylan	
1	7	Clyde Edwards-Helaire	ENTER THE WOOPOUND	fabio	
1	8	Davante Adams	Brady’s Bitch	heather	
1	9	Aaron Jones Sr.	Deshaun of the Dead	rich	
1	10	Joe Mixon	Draven McQueen	tony	
1	11	Tyreek Hill	2013 Donkey Ass	leonard-j	
1	12	Julio Jones	AC X 2	andrew	
1	13	Travis Kelce	Minnesota Frostbite	brett-b	
1	14	Nick Chubb	Good But Not Great	tim	
2	1	Patrick Mahomes	Good But Not Great	tim	
2	2	Chris Godwin Jr.	Minnesota Frostbite	brett-b	
2	3	Derrick Henry	AC X 2	andrew	Y
2	4	DeAndre Hopkins	2013 Donkey Ass	leonard-j	
2	5	George Kittle	Draven McQueen	tony	
2	6	Deshaun Watson	Deshaun of the Dead	rich	Y
2	7	Josh Jacobs	Brady’s Bitch	heather	Y
2	8	Kenyan Drake	ENTER THE WOOPOUND	fabio	Y
2	9	James Conner	The YoungHoes	dylan	
2	10	Melvin Gordon III	Freakz of Nature	romel	
2	11	Chris Carson	Toyota Kamara	christian-k	
2	12	Kenny Golladay	The Golladay Inn	bryan	
2	13	Allen Robinson	Fuck Dean Spanos	mark	
2	14	Le'Veon Bell	Beantown	brett-p	
3	1	Mike Evans	Beantown	brett-p	
3	2	Adam Thielen	Fuck Dean Spanos	mark	
3	3	JuJu Smith-Schuster	The Golladay Inn	bryan	
3	4	DJ Moore	Toyota Kamara	christian-k	
3	5	Odell Beckham Jr.	Freakz of Nature	romel	
3	6	Jonathan Taylor	The YoungHoes	dylan	
3	7	Cooper Kupp	ENTER THE WOOPOUND	fabio	
3	8	Zach Ertz	Brady’s Bitch	heather	
3	9	Amari Cooper	Deshaun of the Dead	rich	
3	10	Todd Gurley	Draven McQueen	tony	
3	11	Tarik Cohen	2013 Donkey Ass	leonard-j	
3	12	Terry McLaurin	AC X 2	andrew	
3	13	Leonard Fournette	Minnesota Frostbite	brett-b	
3	14	Robert Woods	Good But Not Great	tim	
4	1	David Johnson	Good But Not Great	tim	
4	2	Calvin Ridley	Minnesota Frostbite	brett-b	
4	3	Mark Ingram II	AC X 2	andrew	
4	4	J.K. Dobbins	2013 Donkey Ass	leonard-j	
4	5	DJ Chark	Draven McQueen	tony	
4	6	Will Fuller V	Deshaun of the Dead	rich	
4	7	Hollywood Brown	Brady’s Bitch	heather	
4	8	Tyler Lockett	ENTER THE WOOPOUND	fabio	
4	9	Keenan Allen	The YoungHoes	dylan	
4	10	Russell Wilson	Freakz of Nature	romel	
4	11	Michael Gallup	Toyota Kamara	christian-k	
4	12	Kyler Murray	The Golladay Inn	bryan	
4	13	David Montgomery	Fuck Dean Spanos	mark	
4	14	Ronald Jones	Beantown	brett-p	
5	1	Stefon Diggs	Beantown	brett-p	
5	2	Dak Prescott	Fuck Dean Spanos	mark	
5	3	Cam Akers	The Golladay Inn	bryan	
5	4	Hunter Henry	Toyota Kamara	christian-k	
5	5	D'Andre Swift	Freakz of Nature	romel	
5	6	Tyler Boyd	The YoungHoes	dylan	
5	7	Kareem Hunt	ENTER THE WOOPOUND	fabio	
5	8	T.Y. Hilton	Brady’s Bitch	heather	
5	9	Rob Gronkowski	Deshaun of the Dead	rich	
5	10	Jarvis Landry	Draven McQueen	tony	
5	11	Phillip Lindsay	2013 Donkey Ass	leonard-j	
5	12	Tyler Higbee	AC X 2	andrew	
5	13	A.J. Green	Minnesota Frostbite	brett-b	
5	14	Marvin Jones Jr.	Good But Not Great	tim	
6	1	James White	Good But Not Great	tim	
6	2	Matt Breida	Minnesota Frostbite	brett-b	
6	3	Diontae Johnson	AC X 2	andrew	
6	4	CeeDee Lamb	2013 Donkey Ass	leonard-j	
6	5	Josh Allen	Draven McQueen	tony	
6	6	49ers	Deshaun of the Dead	rich	
6	7	Tom Brady	Brady’s Bitch	heather	
6	8	Jared Cook	ENTER THE WOOPOUND	fabio	
6	9	Darren Waller	The YoungHoes	dylan	
6	10	Julian Edelman	Freakz of Nature	romel	
6	11	Antonio Gibson	Toyota Kamara	christian-k	
6	12	Jerry Jeudy	The Golladay Inn	bryan	
6	13	Evan Engram	Fuck Dean Spanos	mark	
6	14	Sterling Shepard	Beantown	brett-p	
7	1	Marlon Mack	Beantown	brett-p	
7	2	Ravens	Fuck Dean Spanos	mark	
7	3	Hayden Hurst	The Golladay Inn	bryan	
7	4	Jalen Reagor	Toyota Kamara	christian-k	
7	5	Alexander Mattison	Freakz of Nature	romel	
7	6	Matt Ryan	The YoungHoes	dylan	
7	7	Drew Brees	ENTER THE WOOPOUND	fabio	
7	8	Zack Moss	Brady’s Bitch	heather	
7	9	Brandin Cooks	Deshaun of the Dead	rich	
7	10	Jordan Howard	Draven McQueen	tony	
7	11	Latavius Murray	2013 Donkey Ass	leonard-j	
7	12	Steelers	AC X 2	andrew	
7	13	Tevin Coleman	Minnesota Frostbite	brett-b	
7	14	Christian Kirk	Good But Not Great	tim	
8	1	A.J. Brown	Good But Not Great	tim	Y
8	2	Darrell Henderson Jr.	Minnesota Frostbite	brett-b	
8	3	Lamar Jackson	AC X 2	andrew	Y
8	4	Mark Andrews	2013 Donkey Ass	leonard-j	Y
8	5	DeVante Parker	Draven McQueen	tony	Y
8	6	Austin Ekeler	Deshaun of the Dead	rich	Y
8	7	Raheem Mostert	Brady’s Bitch	heather	Y
8	8	Kerryon Johnson	ENTER THE WOOPOUND	fabio	
8	9	Miles Sanders	The YoungHoes	dylan	Y
8	10	Noah Fant	Freakz of Nature	romel	
8	11	DK Metcalf	Toyota Kamara	christian-k	Y
8	12	Devin Singletary	The Golladay Inn	bryan	Y
8	13	Courtland Sutton	Fuck Dean Spanos	mark	Y
8	14	Jamison Crowder	Beantown	brett-p	Y
9	1	Carson Wentz	Beantown	brett-p	
9	2	Justin Tucker	Fuck Dean Spanos	mark	
9	3	Deebo Samuel Sr.	The Golladay Inn	bryan	
9	4	Daniel Jones	Toyota Kamara	christian-k	
9	5	Bills	Freakz of Nature	romel	
9	6	Boston Scott	The YoungHoes	dylan	
9	7	John Brown	ENTER THE WOOPOUND	fabio	
9	8	Patriots	Brady’s Bitch	heather	
9	9	Sony Michel	Deshaun of the Dead	rich	
9	10	Anthony Miller	Draven McQueen	tony	
9	11	Joe Burrow	2013 Donkey Ass	leonard-j	
9	12	Harrison Butker	AC X 2	andrew	
9	13	Aaron Rodgers	Minnesota Frostbite	brett-b	
9	14	AJ Dillon	Good But Not Great	tim	
10	1	Chase Edmonds	Good But Not Great	tim	
10	2	Darius Slayton	Minnesota Frostbite	brett-b	
10	3	Matthew Stafford	AC X 2	andrew	
10	4	Devin Duvernay	2013 Donkey Ass	leonard-j	
10	5	Emmanuel Sanders	Draven McQueen	tony	
10	6	Duke Johnson	Deshaun of the Dead	rich	
10	7	Adrian Peterson	Brady’s Bitch	heather	
