ROUND	PICK	PLAYER	TEAM	OWNER	KEEPER
1	1	Saquon Barkley	Good But Not Great	tim	
1	2	Christian McCaffrey	Freakz of Nature	romel	
1	3	Alvin Kamara	Krispy Kareem Donuts	bryan	
1	4	Ezekiel Elliott	AC X 2	andrew	
1	5	Tyreek Hill	2013 Donkey Ass	leonard-j	
1	6	David Johnson	Goff Balls	melissa	
1	7	DeAndre Hopkins	Brady’s Bitch	heather	
1	8	Le'Veon Bell	Don't F#$k W/Mr.Zero	rich	
1	9	Todd Gurley	Gurley’s Cookin	christian-k	
1	10	Davante Adams	Draven McQueen	tony	
1	11	Michael Thomas	Beantown	brett-p	
1	12	Odell Beckham Jr.	Shark Porn	alex	
1	13	Julio Jones	Minnesota Frostbite	brett-b	
1	14	Joe Mixon	DJ Chark Doo Doo Doo	mark	
2	1	Damien Williams	DJ Chark Doo Doo Doo	mark	Y
2	2	Dalvin Cook	Minnesota Frostbite	brett-b	
2	3	JuJu Smith-Schuster	Shark Porn	alex	Y
2	4	Antonio Brown	Beantown	brett-p	
2	5	Travis Kelce	Draven McQueen	tony	Y
2	6	Devonta Freeman	Gurley’s Cookin	christian-k	
2	7	Mike Evans	Don't F#$k W/Mr.Zero	rich	
2	8	Kerryon Johnson	Brady’s Bitch	heather	
2	9	T.Y. Hilton	Goff Balls	melissa	
2	10	Amari Cooper	2013 Donkey Ass	leonard-j	
2	11	Melvin Gordon III	AC X 2	andrew	
2	12	Keenan Allen	Krispy Kareem Donuts	bryan	
2	13	Zach Ertz	Freakz of Nature	romel	
2	14	Julian Edelman	Good But Not Great	tim	
3	1	Leonard Fournette	Good But Not Great	tim	
3	2	Adam Thielen	Freakz of Nature	romel	
3	3	Stefon Diggs	Krispy Kareem Donuts	bryan	
3	4	Derrick Henry	AC X 2	andrew	
3	5	Allen Robinson	2013 Donkey Ass	leonard-j	
3	6	Robert Woods	Goff Balls	melissa	
3	7	Josh Jacobs	Brady’s Bitch	heather	
3	8	Deshaun Watson	Don't F#$k W/Mr.Zero	rich	
3	9	Brandin Cooks	Gurley’s Cookin	christian-k	
3	10	Kenny Golladay	Draven McQueen	tony	
3	11	Andrew Luck	Beantown	brett-p	
3	12	Chris Godwin Jr.	Shark Porn	alex	
3	13	Tyler Lockett	Minnesota Frostbite	brett-b	
3	14	Cooper Kupp	DJ Chark Doo Doo Doo	mark	
4	1	Aaron Rodgers	DJ Chark Doo Doo Doo	mark	
4	2	James White	Minnesota Frostbite	brett-b	
4	3	David Montgomery	Shark Porn	alex	
4	4	Mark Ingram II	Beantown	brett-p	
4	5	Chris Carson	Draven McQueen	tony	
4	6	Sony Michel	Gurley’s Cookin	christian-k	
4	7	Tevin Coleman	Don't F#$k W/Mr.Zero	rich	
4	8	O.J. Howard	Brady’s Bitch	heather	
4	9	Calvin Ridley	Goff Balls	melissa	
4	10	Christian Kirk	2013 Donkey Ass	leonard-j	
4	11	Robbie Chosen	AC X 2	andrew	
4	12	DJ Moore	Krispy Kareem Donuts	bryan	
4	13	Darrell Henderson Jr.	Freakz of Nature	romel	
4	14	Dante Pettis	Good But Not Great	tim	
5	1	Jarvis Landry	Good But Not Great	tim	
